"CODIGO;FILHO";"C�DIGOPAI";RAZ�O SOCIAL PAI;CNPJ;Endere�o;Bairro;CEP;Munic�pio;UF;Telefone 1 Revenda ;Telefone 2 Revenda ;Telefone 3 Revenda;GME;GVE;Consultor;;
468;468;MILTON SOUZA ANDRADE - EPP;01.857.918/0001-14;AV CONTORNO BR 663;PRATAS;49400-000;LAGARTO;SE;(79)36312390;(79)999326073;(79)99326069;GME-NE;GVE SUAPEINTER;JOSE ILDON VIEIRA RABELO J�NIO;;
473;473;COML.REV.GLP SOUZA E RODR.LTDA-ME;02.030.037/0001-98;ROD MANOEL DANTAS 118;CENTRO;49700-000;CAPELA;SE;(79)998662371;(79)32631556;(79)998211766;GME-NE;GVE SUAPEINTER;JOSE ILDON VIEIRA RABELO J�NIO;;
559;559;JOSE ALVES DE SOUZA;13.370.689/0001-98;RUA FRANCISCO JOSE CARDOSO S/N;CENTRO;49800-000;PORTO DA FOLHA;SE;(79)33491232;(79)33491232;(79)998963323;GME-NE;GVE SUAPEINTER;JOSE ILDON VIEIRA RABELO J�NIO;;
984;984;AUTO POSTO SALMOURAO LTDA;46.477.691/0001-10;ESTRADA SALMOURAO A OSVALDO CRUZ S/N;RURAL;17720-000;SALMOURAO;SP;(18)35571122;(18)35571122;;GME-SP;GVE BAURU;ALBERTONE VIEIRA DE OLIVEIRA;;
1632;1632;SERVICAR AUTO POSTO JOAO ARANHA LTD;55.744.981/0001-73;AVENIDA JOAO ARANHA 10 QDR 1;JOAO ARANHA;13145-658;PAULINIA;SP;(19)38331177;(19)38331177;;GME-SP;GVE PAUL�NIA;CONSULTOR GENERICO;;
1928;1928;POSTO DA MOENDA DE ITATIBA LTDA;01.290.406/0001-19;EST MINICIPAL NEMESIO D. SANTOS S/N AREA F9;MOENDA;13252-810;ITATIBA;SP;(11)45387300;(11)45387300;;GME-SP;GVE PAUL�NIA;ADRIANO JOSE ZANELATTO;;
2956;2956;RUSCITO COMERCIO E DIST DE GAS LTDA;62.591.474/0001-02;RUA FLORIANO PEIXOTO 670;CENTRO;14815-000;IBATE;SP;8007712454;(16)33431785;;GME-SP;GVE PAUL�NIA;SIDNEI RAMOS;;
3845;3845;DALMOR FRIDERICHS& CIA LTDA.;01.168.696/0001-22;RUA AJIACIR NUNES DA SILVEIRA 4454;CENTRO;95595-000;CIDREIRA;RS;(51)36812774;(51)984211893;;GME-SUL;GVE CANOAS METRO;CONSULTOR GENERICO;;
3928;3928;LINHA UM PRODUTOS DE PETROLEO LTDA;45.046.547/0001-66;AVENIDA NOSSA SENHORA DE FATIMA 635;AREIA BRANCA;11085-203;SANTOS;SP;(13)32996667;(13)32996667;;GME-SP;GVE CAPUAVA;ROBERTO CARLOS MARTINS PIRES;;
3929;3929;AUTO P.PARAISO DE SAO VICENTE LTDA;03.961.156/0001-27;AVENIDA CAPITAO LUIS HORNEAUX DE MOURA 809;JARDIM PARAISO;11370-501;SAO VICENTE;SP;(13)35617006;(13)35617006;;GME-SP;GVE CAPUAVA;ROBERTO CARLOS MARTINS PIRES;;
